text,author,likes,published_at,word_count,polarity,sentiment,length_bin,clean_text,adjusted_sentiment,roberta_raw,roberta_sentiment,sentiment_final
"Oh wow, this was amazing. Twilightenment indeed! My only criticism is that even for me, the video is kinda too long, which means I can't remember all the stuff I wanna comment on. But awesome, and funny, and love the little ironic stabs everywhere.

My main takeaway from the vid would be ""Let women's fantasy lead the way!"" Incredible how it all works, and you've been able to articulate things about the fantasy genre that I've always sensed but couldn't really explain. It's the thing that frustrates me the most, often feeling like I'm reaching for something just out of reach.... But dare I say I'm not surprised that it's within another queer space that some of those answers can be found.

I'm an aro/ace cis tomboy, and I remember the whole sex-negative feminism thing used to resonate with me - when I was in the closet! I never wanted to be a nun though, it always struck me as being untruthful about something, like hiding from the world because they couldn't tell the world. Right? 

""Samsara is my stomping ground,"" haha yes, like why do some people hate being here so much? Life, rebirth and cycles are fine. I have to say however, that no, peace is not just for the Wise - if one has peace, then the excitement is even better. Less distractions from the fun, as it were. 

Also wanna point out that Adam was in fact gay - so the whole story of him and Eve (or Lilith) has to be reexamined through that lens, as opposed to it being about ""the genders"" or about the ""inherently violent nature of romance"" as a thing. There is no inherently violent nature to sexuality if the partners are true mates (like in Eden, the Magic Kingdom). The violence only came about as a result of Adam (gay) having kids with a woman (aka introducing Death). 

What the myth says however is that yes, there is the violence as a result of ""veiling the Sun"" (gayness) but Adam (the Sun) never actually veiled himself, just continued to be who he was. The Jesus story then purports to show who that was (introducing Resurrection and ""redeeming Adam and Eve"" -- redemption is a misunderstood word by the way). 

Apparently people in the old days knew this, because Eve was not ""torn from Adam's side,"" she is painted as coming into existence from the Void *behind Adam, when he's sleeping, and Eve is reaching for God (the Master of the Universe) from that Void. The God is the true mate, basically that was the ancient term for spirit-husband (which religion has since demonised). ""Vegetarian vampire"" 😂

Fantasy is Lilith's relationship to Adam/Lucifer that ""gave her Desire for Man"" (meaning that HE had this Desire for Man that he transfered to her, but she's still ""the virgin"" when she has the kids/baby monsters/immortals). So women who write m/m fanfic are actually Lilith's descendants identifying with men (equality) and going back to Paradise in the now. (Lilith writes vampire fic too, but that's another story entirely! Lol!)

I feel like the whole ""You can't choose how you feel"" is a misrepresentation of what Love is, but now I finally get what Freddie Mercury was saying about ""being possessed by love, isn't everybody?"". Lol nope. I notice that yeah, aces do question that a bit more, or why anyone would seek the drama at all. Feelings are created by thoughts, and we choose our own thoughts. BUT if we only put half of our thoughts into it (by rejecting the Master of the Universe 😊) then it's not what we choose at all. 

So Love is the Demon who works for God, as King James' Daemonologie suggests. 

""I'm just trying to bring the West into harmony with the Dao, is that so wrong?"" 😂😂😂❤❤❤ I love it, and yes, you are. You are one of those fab ""demons"" working for the Dao. ❤",@AdinaIspas,0,2025-06-09T18:56:24Z,315,0.2226521164021164,positive,,oh wow amazing twilightenment indeed criticism even video kinda long mean can not remember stuff wanna comment awesome funny love little ironic stab everywheremy main takeaway vid would let women fantasy lead way incredible work able articulate thing fantasy genre always sense could not really explain thing frustrate often feel like reach something reach dare say surprised within another queer space answer foundim aroace cis tomboy remember whole sexnegative feminism thing use resonate closet never want nun though always strike untruthful something like hide world could not tell world right samsara stomp ground haha yes like people hate much life rebirth cycle fine say however peace wise one peace excitement even well less distraction fun also wanna point adam fact gay whole story eve lilith reexamine lens oppose gender inherently violent nature romance thing inherently violent nature sexuality partner true mate like eden magic kingdom violence come result adam gay kid woman aka introduce death myth say however yes violence result veil sun gayness adam sun never actually veil continue jesus story purport show introduce resurrection redeem adam eve redemption misunderstood word way apparently people old day know eve tear adam side paint come existence void behind adam sleep eve reach god master universe void god true mate basically ancient term spirithusband religion since demonise vegetarian vampire fantasy lilith relationship adamlucifer give desire man mean desire man transfer still virgin kidsbaby monstersimmortal woman write mm fanfic actually lilith descendant identify man equality go back paradise lilith write vampire fic another story entirely loli feel like whole can not choose feel misrepresentation love finally get freddie mercury say possess love not everybody lol nope notice yeah ace question bit anyone would seek drama feeling create thought choose thought put half thought reject master universe choose love demon work god king james daemonologie suggest try bring west harmony dao wrong love yes one fab demon work dao,positive,LABEL_1,neutral,positive
can you please do a video on the hunger games ? ❤,@CBee-t1f,0,2025-06-09T17:32:59Z,4,0.0,neutral,10-20,please video hunger game,neutral,LABEL_1,neutral,neutral
"2:09:56 LAPVONA!! Read it you guys, read it",@frankienayman3641,0,2025-06-08T16:48:33Z,5,0.0,neutral,0-10,20956 lapvona read guy read,neutral,LABEL_1,neutral,neutral
"Girl from watching all of this, I hope you discover Love and Deepspace",@katsbukojuice,0,2025-06-08T05:54:56Z,6,0.5,positive,10-20,girl watch hope discover love deepspace,positive,LABEL_2,positive,positive
"ive been audibly laughing at ""pervoslavia"" since i first saw this video lmao",@Robin-234,0,2025-06-07T21:44:41Z,8,0.425,positive,10-20,audibly laugh pervoslavia since first see video lmao,positive,LABEL_2,positive,neutral
I absolutely love how you explain everything in such great detail backed up by history. I wish you would do more!,@jkolkowska9334,0,2025-06-07T14:01:11Z,10,0.48125,positive,20-50,absolutely love explain everything great detail back history wish would,positive,LABEL_2,positive,positive
"1:13:31 ""the Denali coven of vampires - blond vixens all!"" 
And Lee Pace. there are two forms of Denali - hot Victoria Secret model blonde vampires and Lee Pace. 
because frankly that's just common sense and I admire the movie for it!",@lenawalters1866,0,2025-06-06T15:01:47Z,24,-0.13125,negative,20-50,11331 denali coven vampire blond vixen lee pace two form denali hot victoria secret model blonde vampire lee pace frankly common sense admire movie,positive,LABEL_1,neutral,neutral
"1:42:37 OK- i have a friend who watches vaush, and now i'm curious what contrapoints means by this (i dont really watch vaush myself)",@aw3707,0,2025-06-06T04:07:38Z,12,0.20000000000000004,positive,20-50,14237 ok friend watch vaush curious contrapoint mean not really watch vaush,positive,LABEL_1,neutral,neutral
45:47 can we talk about how both of these divas are slaying the house down,@rockeramsey,0,2025-06-06T02:49:46Z,5,-0.15555555555555559,negative,10-20,4547 talk diva slay house,positive,LABEL_1,neutral,positive
"This can be difficult to talk about, because we worry that the worst men in the universe will take these fantasies as ""proof""; that women ""really want"" to be dominated by violent men. 
But abusive men will use any pretext to justify their behavior, and that's not on us, it's on them. 

THANK YOU",@NekoNeko976,0,2025-06-05T18:55:16Z,23,-0.525,negative,50-100,difficult talk worry bad man universe take fantasy proof woman really want dominate violent man abusive man use pretext justify behavior we thank,neutral,LABEL_0,negative,neutral
"Thank you for including ""too disabled"" in the insecurities list! 🖤",@nikkilosievski4715,1,2025-06-05T13:47:18Z,5,-0.25,negative,10-20,thank include disabled insecurity list,positive,LABEL_1,neutral,neutral
"I love romance and romantasy! I don’t like romanticizing violent rape. I know it’s nothing new but I do think that is something we should be past. People are free to write what they like and people are free to enjoy what they like but putting books like Haunting Adeline on a pedestal says horrible things about society and its reliance on rape culture. It’s not just an unbalanced power dynamic, it’s literal violent rape. Books like these push the narrative that rape is motivated by desire and that justifies the behavior. Rape is motivated by control and degradation of another person. Morally grey is one thing. Rape with a firearm is morally void.",@EnBee90,0,2025-06-01T23:32:46Z,64,-0.07821969696969698,neutral,100+,love romance romantasy not like romanticize violent rape know nothing new think something past people free write like people free enjoy like put book like haunt adeline pedestal say horrible thing society reliance rape culture unbalanced power dynamic literal violent rape book like push narrative rape motivate desire justify behavior rape motivate control degradation another person morally grey one thing rape firearm morally void,neutral,LABEL_0,negative,neutral
I’ve watched this five or six times and it’s perfect in every way. I talk about nothing else,@isabelpackard1094,0,2025-06-01T16:57:40Z,10,1.0,positive,10-20,watch five six time perfect every way talk nothing else,positive,LABEL_2,positive,positive
1:58:30 hahah I forgot about this scene I lost it,@fusion_phoenix,0,2025-06-01T14:16:40Z,5,0.0,neutral,0-10,15830 hahah forget scene lose,neutral,LABEL_1,neutral,neutral
"1:21:35 I'm always saying this. I agree that pornography has its darker elements, that there are bad things out there, bad things that have happened to people in the name of ""performance"" in a porn film. However, I really hate the idea that porn makes men bad lovers or bad at sex. If a shitty, abusive boyfriend watches pornography and uses it as inspiration to do shitty, abusive sex acts on his girlfriend, it's because he was a shitty, abusive boyfriend first, not because he looked at pornography.",@muticere,2,2025-06-01T07:15:44Z,46,-0.5583333333333332,negative,50-100,12135 always say agree pornography dark element bad thing bad thing happen people name performance porn film however really hate idea porn make man bad lover bad sex shitty abusive boyfriend watch pornography use inspiration shitty abusive sex act girlfriend shitty abusive boyfriend first look pornography,neutral,LABEL_0,negative,neutral
"This is amazing. In Robert Jordan's Wheel of Time BOOK series, the female half of the One Power must be surrendered to in order to control it, whereas the male half is violence and rage, and must be dominated forcefully to control it (also makes them crazy, literally). I love your breakdown of everything, this is my first time on your channel, and I'll be back! I hate Twilight anyway, though. 😅

He also uses the yin/yang as the symbol for the One Power (minus the inner dots).",@Grond112358,0,2025-05-31T23:54:20Z,49,-0.040277777777777767,neutral,50-100,amazing robert jordans wheel time book series female half one power must surrender order control whereas male half violence rage must dominate forcefully control also make crazy literally love breakdown everything first time channel ill back hate twilight anyway though also use yinyang symbol one power minus inner dot,neutral,LABEL_1,neutral,neutral
2:28:16  ngl my fantasies of “merging with a man” made me realize that i might be trans masculine lol,@socialjusticeworm3820,1,2025-05-31T22:58:43Z,11,0.45,positive,10-20,22816 ngl fantasy merge man make realize might trans masculine lol,positive,LABEL_1,neutral,neutral
Can we just give her the PhD based on this please?,@averygriffin6525,3,2025-05-30T15:13:38Z,4,0.0,neutral,10-20,give phd base please,neutral,LABEL_1,neutral,neutral
This is my favorite Contra video. It has taught me the most.,@HaroldCricklol,1,2025-05-30T06:51:23Z,4,0.5,positive,10-20,favorite contra video teach,positive,LABEL_1,neutral,positive
this is it. this is the answer.,@RoyalScribeX,1,2025-05-30T01:28:24Z,1,0.0,neutral,0-10,answer,neutral,LABEL_1,neutral,neutral
I identify as non-binary pansexual with a strong tendency towards masochism and cruel women.  This vid gives me lots to think about but so far at least it does confirm  my non-binary idenity,@eldritchwulfe,2,2025-05-29T17:14:30Z,18,-0.19166666666666665,negative,20-50,identify nonbinary pansexual strong tendency towards masochism cruel woman vid give lot think far least confirm nonbinary idenity,negative,LABEL_0,negative,neutral
14:01 “how many mafia thinks can there be”,@harderlarder1939,1,2025-05-29T00:08:40Z,4,0.5,positive,0-10,1401 many mafia think,positive,LABEL_1,neutral,neutral
"I've watched this video about 12 times and every single time I get something new out of it. 

Currently back because I've recently taken an interest in Jung's archetypes after watching a different video about the animus, and it reminded me of the concepts in this video about DHSM and the idea of Eros / desire requiring separation between the two parties.

I wish I knew people in real life who would want to discuss these things!",@frankie9698,1,2025-05-28T17:48:33Z,41,0.052489177489177495,neutral,50-100,watch video 12 time every single time get something new currently back recently take interest jung archetype watch different video animus remind concept video dhsm idea ero desire require separation two partiesi wish know people real life would want discuss thing,neutral,LABEL_1,neutral,neutral
46:28 I love what they’re both wearing,@ragestarshine5735,0,2025-05-27T19:31:27Z,3,0.5,positive,0-10,4628 love wear,positive,LABEL_2,positive,neutral
54:30   I thought Kate Bush wrote Wuthering Heights ? :P,@eldritchwulfe,0,2025-05-27T17:09:17Z,8,0.75,positive,0-10,5430 think kate bush write wuthere height p,positive,LABEL_1,neutral,neutral
"You could say ""as with the non binary binary so with the code""
flattenning definitions confuses the higher levels of thinking to psychopathy
and puzzlingly obvious a turing machine (why do i still not understand this, really?)
that's all part of the show you know and the rest is hidden from view (Suzanne Vega fat man dancing girl?)(it's in my CD collection somewhere)",@markchapman140,0,2025-05-27T15:35:28Z,34,0.07083333333333333,neutral,50-100,could say non binary binary codeflattenning definition confuse high level think psychopathyand puzzlingly obvious ture machine still understand reallythat part show know rest hide view suzanne vega fat man dancing girlit cd collection somewhere,neutral,LABEL_1,neutral,neutral
I think your videos are brilliant,@juanluisgomar7640,0,2025-05-27T13:41:57Z,3,0.9,positive,0-10,think video brilliant,positive,LABEL_2,positive,positive
DRISCOLL BROTHERS ORGY WAS RAW,@msmsmsms8515,0,2025-05-27T02:28:51Z,4,-0.23076923076923078,negative,0-10,driscoll brother orgy raw,positive,LABEL_1,neutral,neutral
Isn't Twlight just mormon propaganda?,@cookieface80,0,2025-05-27T01:29:11Z,4,-0.1,neutral,0-10,not twlight mormon propaganda,neutral,LABEL_0,negative,neutral
Women liking dark triad men isn't really a shocking revelation.,@cookieface80,0,2025-05-27T00:56:44Z,9,-0.575,negative,0-10,woman like dark triad man not really shocking revelation,positive,LABEL_1,neutral,neutral
one of my favorite parts of these videos is the reading list i get from them,@zzz808-,0,2025-05-27T00:19:40Z,7,0.5,positive,10-20,one favorite part video reading list get,positive,LABEL_2,positive,neutral
Back for my monthly watch,@zzz808-,3,2025-05-27T00:01:00Z,3,0.0,neutral,0-10,back monthly watch,neutral,LABEL_1,neutral,positive
Deep thought by women. Lol,@derekv6479,1,2025-05-26T20:49:58Z,4,0.4,positive,0-10,deep thought woman lol,positive,LABEL_1,neutral,neutral
1:02:10 Verka Serduchka mentioned lets go,@vasylkocherzhynsky6682,1,2025-05-26T17:12:18Z,6,0.0,neutral,0-10,10210 verka serduchka mention let go,neutral,LABEL_1,neutral,neutral
i watch this every three months thank you so much,@ImSoCoolItBurns,2,2025-05-25T20:53:45Z,6,0.2,positive,0-10,watch every three month thank much,positive,LABEL_2,positive,positive
Coach norm from saving silverman belongs in the male fears about women section just saying,@Korlix-mb3ku,0,2025-05-25T09:04:28Z,10,0.0,neutral,10-20,coach norm save silverman belong male fear woman section say,neutral,LABEL_1,neutral,neutral
"What i find strange, is that this almost sounds like something an ""Incel"" might say about what women are ""actually "" attracted to. The complexity of female attraction vs who one would want to marry is often reduced to a either or scenario. For men, we seem to have an understanding that Men might be attracted to a women, but not want to marry said woman due to social or compatibility reasons. Why dont we extend that same logic to womens desires?",@Korlix-mb3ku,0,2025-05-25T08:06:37Z,44,-0.02361111111111111,neutral,50-100,find strange almost sound like something incel might say woman actually attract complexity female attraction vs one would want marry often reduce either scenario man seem understanding man might attract woman want marry say woman due social compatibility reason not extend logic women desire,neutral,LABEL_1,neutral,neutral
I know this is an intellectual video but I can’t stop thinking about how much I love her eyes!😍,@Princess-Lavender,2,2025-05-25T04:40:55Z,10,0.4,positive,10-20,know intellectual video can not stop think much love eye,positive,LABEL_2,positive,positive
back for the 192935th time,@iwouldgiveyouthemoon_,4,2025-05-24T19:50:39Z,3,0.0,neutral,0-10,back 192935th time,neutral,LABEL_1,neutral,positive
Thanks for the video! I feel my IQ grew  by another hundred points after watching it.,@PavelMikhalkov,0,2025-05-24T12:18:34Z,9,0.25,positive,10-20,thank video feel iq grow another hundred point watch,positive,LABEL_2,positive,positive
"55:13 
I always come back to this",@N-HTTi,1,2025-05-24T08:26:44Z,4,0.0,neutral,0-10,5513 always come back,neutral,LABEL_2,positive,positive
I feel blessed to be living during the philosophical age of ContraPointism,@user-dt3rc9yt1t,1,2025-05-23T18:33:41Z,6,0.0,neutral,10-20,feel blessed live philosophical age contrapointism,neutral,LABEL_2,positive,positive
"""Dresden china"" is what Barbara Cartland is saying. Luxury porcelain.",@applemask,2,2025-05-23T14:44:00Z,7,0.0,neutral,0-10,dresden china barbara cartland say luxury porcelain,neutral,LABEL_1,neutral,neutral
"I come back to this video again and again... It's my comfort video. Also, I started to write my own stuff last year and turns out I check all the boxes of the books that women shouldn't read xD",@AgVBlue,2,2025-05-23T12:20:12Z,19,0.19999999999999998,positive,20-50,come back video comfort video also start write stuff last year turn check box book woman not read xd,positive,LABEL_1,neutral,positive
"The original hebrew tranlation of Leviticus 20:13 is not ""man with man"" but ""man with child"" this translation happening in 300+ BCE... Cant imagine why modern day priests haven't petitioned for this to be corrected. I mean don't they just love kids? *eyeroll*",@birdm.e.h,2,2025-05-22T17:32:13Z,27,0.190625,positive,20-50,original hebrew tranlation leviticus 2013 man man man child translation happen 300 bce can not imagine modern day priest not petition correct mean not love kid eyeroll,positive,LABEL_0,negative,neutral
I like a lot of what this video covers -- I just feel as though my issues with twilight's  stem from its depiction of minorities lead me to believe it is deeply harmful... And the native women also experience an insane level of misogyny too..,@arlinnthelover152,1,2025-05-22T15:23:01Z,22,-0.5,negative,20-50,like lot video cover feel though issue twilight stem depiction minority lead believe deeply harmful native woman also experience insane level misogyny,negative,LABEL_0,negative,neutral
👏👏👏👏,@jackdoobie,0,2025-05-21T21:53:06Z,0,0.0,neutral,0-10,,neutral,LABEL_1,neutral,neutral
Your filming setup and your fashion sense is so gorgeous. You're magical,@thecurseddinkleberg4086,2,2025-05-21T20:57:52Z,6,0.6,positive,10-20,filming setup fashion sense gorgeous magical,positive,LABEL_2,positive,positive
what if i cried at the contrapoints twilight video. what then.,@alizztwt,5,2025-05-21T20:06:08Z,4,0.0,neutral,10-20,cry contrapoint twilight video,neutral,LABEL_1,neutral,neutral
Is this vampire thing is it real even 😅😅😅 rich and old 101 yrs that one killed 😂😂😅,@867GUDmanhimself,0,2025-05-21T17:36:41Z,10,0.11874999999999998,positive,10-20,vampire thing real even rich old 101 yrs one kill,positive,LABEL_0,negative,neutral
2:08:35 divine as god 🥹 mother u are insane,@DY_HZ,0,2025-05-21T03:50:26Z,6,-1.0,negative,0-10,20835 divine god mother u insane,positive,LABEL_0,negative,positive
Would love it if Natalie did a video on the Adolescence series,@sarahthomas8321,0,2025-05-20T11:11:20Z,6,0.5,positive,10-20,would love natalie video adolescence series,positive,LABEL_2,positive,neutral
Can't believe I barely found your channel after all these years. Instant attraction 😍.,@tomcat9047,0,2025-05-20T06:12:43Z,9,0.025,neutral,10-20,can not believe barely find channel year instant attraction,positive,LABEL_0,negative,positive
"The UFC literally has to force fans to care about women’s divisions. It’s not hate, it’s just reality. Nobody’s tuning in for that.",@LOWBLOWMMA,1,2025-05-20T05:56:28Z,11,0.4,positive,20-50,ufc literally force fan care womens division hate reality nobodys tuning,positive,LABEL_0,negative,neutral
1:02:09 UKRAINE MENTIONED not in a war context 🎉🎉🎉,@fearlarsen,0,2025-05-19T21:38:38Z,5,0.0,neutral,0-10,10209 ukraine mention war context,neutral,LABEL_1,neutral,neutral
"3:10 this bit is extra hilarious to me, given that this is coming from the woman who created WILL LADISLAW.

a.k.a., the most wish-fullfillment-y male love interest that I've ever read!

(I know, I know, I might be heavily biased here. But hear me out: he falls in love with Dorothea after 1 conversation. Literal quote from his thoughts after that ONE conversation: ""There was no appropriate way of saying he wanted to kiss her slippers and he would die for her."" He's deeply, passionately in love with her; he absolutely respects her and her thoughts and her brain and her wants and her opinions; he respects her, and sees her as his equal, if not etter than him; he loves her without any hope of having his feelings returned. He's intelligent, creative, passionate, kind, AND, well...based on the way George wrote him, also rather pretty -_-')
(it's like George created the feminist simp ideal nearly 200 YEARS before the terms--with modern meanings--existed.
I'm probably exposing *my* taste in men here, but yeah. For me, THAT kind of love interest is wish fulfillment for me.)",@thesewinggeekmiri9029,0,2025-05-19T20:09:08Z,90,0.3170454545454545,positive,100+,310 bit extra hilarious give come woman create ladislawaka wishfullfillmenty male love interest ever readi know know might heavily biased hear fall love dorothea 1 conversation literal quote thought one conversation appropriate way say want kiss slipper would die deeply passionately love absolutely respect thought brain want opinion respect see equal etter love without hope feeling return intelligent creative passionate kind wellbase way george write also rather pretty like george create feminist simp ideal nearly 200 year termswith modern meaningsexistedim probably expose taste man yeah kind love interest wish fulfillment,positive,LABEL_2,positive,neutral
https://www.youtube.com/watch?v=-KT-r2vHeMM,@NakedCowboy123,0,2025-05-19T14:59:47Z,0,0.0,neutral,0-10,,neutral,LABEL_1,neutral,neutral
"Amazing video! A small linguistic thing which supports your argument:

Etymologically speaking, the 6th commandment is not ""Thou shall not kill"", it's ""Thou shall not murder"" - it uses a different root to the root of the word ""kill"" or even ""put to death"" - implying a vicious, unjust, unwarranted, or unsanctioned killing.",@daviddjemal4082,1,2025-05-19T14:24:30Z,31,-0.07999999999999999,neutral,50-100,amazing video small linguistic thing support argumentetymologically speak 6th commandment thou shall kill thou shall murder use different root root word kill even put death imply vicious unjust unwarranted unsanctioned killing,positive,LABEL_0,negative,positive
"I get a lot of relation to spiritual takes on desire, and how it can never be satisfied, and become our master.",@NakedCowboy123,0,2025-05-19T12:49:01Z,10,0.25,positive,20-50,get lot relation spiritual take desire never satisfied become master,positive,LABEL_1,neutral,neutral
"I had a history of art professor talk about how women are taught to view themselves as subjects and hence to construct themselves by viewing themselves through the perspective of men. In this, I think, women are taught to inhabit the male viewpoint as an inherent part of their gender performance (I think you touch on this a bit with the “Gay boys on the internet; the only people with any vision of contemporary womanhood” bit in the Aesthetic video (I’m quoting directly but only from memory, so fuck knows if this is actually what you said). In relation to art, this manifests in the female nude, where men paint women nude, and critique the woman in the painting for being nude, because it is inherent to her womanhood that she is aware of the voyerism of men watching her, regardless of the fact that it was a man who painted her nude. (I’m paraphrasing but there’s a really gorgeous bit on this in Berger’s 'Ways of Seeing' - Chapter 3 'The Nude') which feels vaguely relevant. “A woman must continually watch herself. She is almost continually accompanied by her own image of herself. Whilst she is walking across a room or whilst she is weeping at the death of her father, she can scarcely avoid envisaging herself walking or weeping. From earliest childhood she has been taught and persuaded to survey herself continually.
And so she comes to consider the surveyor and the
surveyed within her as the two constituent yet always distinct elements of her identity as a woman.
She has to survey everything she is and everything
she does because how she appears to others, and ultimately how she appears to men, is of crucial importance for what is normally thought of as the success of her life. Her own sense of being in herself is supplanted by a sense of being appreciated as herself by another.
Men survey women before treating them.
Consequently how a woman appears to a man can determine how she will be treated. To acquire some control over this process, women must contain it and interiorize it. That part of a woman's self which is the surveyor treats the part which is the surveyed so as to demonstrate to others how her whole self would like to be treated. […]
In the art-form of the European nude the painters
and spectator-owners were usually men and the persons treated as objects, usually women. This unequal relationship is so deeply embedded in our culture that it still structures the consciousness of many women. They do to themselves what men do to them. They survey, like men, their own femininity.” girlie also goes more into the arty stuff if you fancy reading it, it’s really interesting!",@jatyamxx,0,2025-05-18T16:32:50Z,205,0.1968390804597701,positive,,history art professor talk woman teach view subject hence construct view perspective man think woman teach inhabit male viewpoint inherent part gender performance think touch bit gay boy internet people vision contemporary womanhood bit aesthetic video quote directly memory fuck know actually say relation art manifest female nude man paint woman nude critique woman painting nude inherent womanhood aware voyerism man watch regardless fact man paint nude paraphrase really gorgeous bit berger way see chapter 3 nude feel vaguely relevant woman must continually watch almost continually accompany image whilst walk across room whilst weep death father scarcely avoid envisage walk weep early childhood teach persuade survey continuallyand come consider surveyor thesurveye within two constituent yet always distinct element identity womanshe survey everything everythingshe appear other ultimately appear man crucial importance normally think success life sense supplant sense appreciate anotherman survey woman treat themconsequently woman appear man determine treat acquire control process woman must contain interiorize part womans self surveyor treat part survey demonstrate other whole self would like treat artform european nude paintersand spectatorowner usually man person treat object usually women unequal relationship deeply embed culture still structure consciousness many woman man survey like man femininity girlie also go arty stuff fancy read really interesting,positive,LABEL_1,neutral,neutral
"Me, aromantic asexual: Damn that’s crazy",@vidaliawhyte4620,3,2025-05-16T21:20:06Z,4,-0.6,negative,0-10,aromantic asexual damn crazy,positive,LABEL_0,negative,neutral
"I had to rewatch in celebration of Natalie winning against tyranny. I have a genuine giggle thinking that a shocked and upset Stephanie Meyer watching this video in its entirety and her still being “this is definitely about me and me alone”. Live, laugh, love that for ya gurl",@rachaelparker6188,0,2025-05-16T19:12:29Z,23,0.16233766233766236,positive,20-50,rewatch celebration natalie win tyranny genuine giggle thinking shocked upset stephanie meyer watch video entirety still definitely alone live laugh love ya gurl,positive,LABEL_2,positive,positive
Shamela took me out 🤣,@UruvielNaomi,0,2025-05-16T08:42:55Z,2,0.0,neutral,0-10,shamela take,neutral,LABEL_1,neutral,neutral
This video doesn't get nearly as much attention as it deserves.,@i_boole6639,2,2025-05-16T01:12:41Z,7,0.2,positive,10-20,video not get nearly much attention deserve,positive,LABEL_0,negative,neutral
Yeeeees she mentioned hbomberguy like how hbomberguy mentions her,@maxwell_e,0,2025-05-16T00:11:59Z,6,0.0,neutral,0-10,yeeeee mention hbomberguy like hbomberguy mention,neutral,LABEL_1,neutral,neutral
I liked the bit with the bible study,@headfullofdreams6083,1,2025-05-15T11:41:30Z,4,0.6,positive,0-10,like bit bible study,positive,LABEL_1,neutral,neutral
Amazing ~ very well done,@j.e.b.s.,0,2025-05-15T02:36:20Z,3,0.4,positive,0-10,amazing well do,positive,LABEL_2,positive,positive
I don't know how I hadn't found your channel before. I'm pretty sure this is the most brilliant content I've ever seen on YouTube.,@juanam735,16,2025-05-15T00:13:12Z,12,0.5375,positive,20-50,not know not find channel pretty sure brilliant content ever see youtube,positive,LABEL_2,positive,positive
"I died at ""Le Pain Quotidien"". I'm dead XD",@juanam735,0,2025-05-15T00:07:48Z,6,-0.2,negative,0-10,die le pain quotidien dead xd,positive,LABEL_1,neutral,neutral
People are sleeping on the Rocky Horror reference though,@BekaBaker,2,2025-05-14T15:24:59Z,6,0.0,neutral,0-10,people sleep rocky horror reference though,neutral,LABEL_1,neutral,neutral
